RAdeg,DEJ2000,Plx,Vmag,Scat,SpType,HIP,ASCC,RV,e_RV,q_RV,o_RV
184.83562,+21.14702,   37.09, 10.407, 0.538,F5          ,       ,  778493,  -12.00,   3.80, ,   3
184.84281,+17.72879,    9.50,  8.086, 0.014,F5          ,  60091,  867040,   -8.41,   2.09, ,   1
184.84833,+09.46467,    5.11,  9.011, 0.017,F5          ,  60092, 1043433,  -11.90,   2.40, ,   1
184.87359,+28.15722,   19.80,  6.375, 0.008,F8 Vs       ,  60098,  684709,   -9.78,   0.63, ,  22
184.96220,+14.38343,    4.19,  8.935, 0.014,F5          ,  60124,  953718,   -9.80,   2.50, ,   3
184.99864,-28.52546,    8.32,  7.813, 0.009,F6V         ,  60142, 1672343,   10.40,   0.30, ,   2
185.02556,+15.71495,   15.41,  8.035, 0.017,F8          ,  60152,  867069,  -27.10,   0.30, ,   2
185.06337,-00.14457,    7.13,  8.329, 0.014,F5          ,  60164, 1231048,   -8.60,   1.10, ,   2
185.07435,+26.00183,   16.49,  6.137, 0.008,F0 IV       ,  60168,  684728,    6.50,   2.80, ,  36
185.16386,-03.99501,   13.24,  7.935, 0.010,F5          ,  60194, 1231062,   14.00,   0.50, ,   3
185.17238,+27.05484,   11.39,  7.005, 0.012,F3 V        ,  60197,  684741,  -17.10,   2.20, ,   7
185.18991,+25.76588,   13.53,  9.017, 0.023,F8V         ,  60206,  684743,   -1.09,   2.28, ,   4
185.22457,-15.81519,   13.50,  8.065, 0.009,F7V         ,  60217, 1479339,    0.60,   0.40, ,   2
185.28532,-11.47569,   11.56,  8.582, 0.064,F0pSr       ,  60236, 1393329,  -15.50,       ,C,   2
185.38492,+24.51197,    9.19,  8.920, 0.017,F8 V        ,  60274,  778548,    5.00,   5.40, ,   6
185.41075,-27.27298,    9.22,  8.124, 0.010,F5V         ,  60281, 1672409,  -48.20,   0.90, ,   2
185.43801,+21.87272,    6.36,  7.418, 0.008,F8III       ,  60290,  778552,   -3.90,   2.48, ,   1
185.46647,-18.40007,    5.00,  8.544, 0.010,F3IV/V      ,  60299, 1479374,  -29.10,   0.40, ,  24
185.47336,+25.62010,  -19.50, 10.669, 0.578,F2          ,       ,  684777,  -16.70,   1.00, ,   3
185.48405,+27.30953,   10.71,  8.485, 0.014,F6V         ,  60304,  684780,   -0.58,   1.10, ,   1
185.49049,+25.68598,    0.50,  9.562, 0.206,F3V         ,       ,  684782,  -15.60,   3.40, ,   6
185.55024,+14.37085,   74.69, 10.120, 0.384,F6          ,       ,  953798,   -0.40,   2.80, ,   2
185.60318,+22.46417,   11.58,  8.525, 0.014,F8 V        ,  60347,  778569,   -0.19,   1.30, ,   3
185.62633,+25.84618,   11.84,  4.796, 0.006,F8:p*       ,  60351,  684793,    0.89,   2.28, ,  33
185.63084,+25.82853,    8.10,  8.870,      ,F7V         ,       ,  684794,   -4.00,   1.90, ,   6
185.63390,+05.30557,   33.43,  6.453, 0.010,F7        d ,  60353, 1043519,    4.31,   1.26, ,   4
185.67486,+25.80631,  -70.30, 10.076, 0.493,F5V         ,       ,  684801,  -13.90,       , ,   1
185.72882,-14.66287,   12.31,  7.465, 0.009,F3V         ,  60388, 1393390,   16.80,   0.30, ,   2
185.75042,+29.54502,   -0.16, 10.647, 0.025,F1          ,  60395,  684811,   14.00,   4.20, ,   6
185.78503,+25.85140,   11.66,  9.103, 0.018,F8V         ,  60406,  684815,    2.02,  16.50, ,   4
185.85399,-07.05264,    5.99,  9.387, 0.016,F2 V        ,  60428, 1310831,  -10.37,   2.63, ,   2
185.86490,-06.11893,   16.36,  7.176, 0.008,F8          ,  60436, 1310834,  -29.40,   0.20, ,   2
185.87821,+17.35571,    8.08,  9.024, 0.017,F6          ,  60441,  867171,  -10.70,   2.00, ,   3
185.89511,+23.42856,    4.31,  8.920, 0.018,F8 V        ,  60446,  778605,    3.60,   1.10, ,   5
185.92091,+26.97995,   12.41,  8.348, 0.016,F5 V        ,  60458,  684830,   -0.99,   1.60, ,   2
186.00948,-19.57174,   12.30,  7.434, 0.009,F5V         ,  60486, 1479454,    7.30,   1.30, ,   2
186.09023,-25.21112,   15.07,  8.048, 0.010,F5V         ,  60519, 1672525,   10.00,   0.60, ,   2
186.24722,+25.66963,  -21.29, 10.221, 0.504,F1          ,       ,  684860,  -18.90,   2.50, ,   3
186.25943,+25.56068,    9.36,  8.130, 0.017,F8          ,  60582,  684863,  -22.00,  10.60, ,  14
186.34377,+23.22911,    9.51,  8.551, 0.014,F7        d ,  60611,  778673,   -2.79,   8.16, ,   2
186.39573,+01.28511,   11.08,  9.657, 0.018,F5 VI       ,  60632, 1139233,  154.56,   0.87, ,   5
186.40079,-26.81132,   15.10,  7.685, 0.010,F5V         ,  60635, 1672577,    7.60,   0.30, ,   2
186.45768,-04.86188,   14.28,  8.183, 0.010,F6        d ,  60645, 1231226,  -13.01,   2.62, ,   2
186.46650,+26.77669,   11.34,  8.326, 0.013,F6 V        ,  60649,  684896,   -0.90,   1.17, ,   1
186.49870,-14.94772,   16.11,  7.142, 0.008,F6V         ,  60665, 1393490,   -8.20,   0.30, ,   2
186.53459,-04.48072,    6.52,  7.680, 0.008,F5          ,  60680, 1231240,   -5.00,   3.00, ,   2
186.56763,+24.17706,    1.39, 10.018, 0.344,F8          ,       ,  778691,   14.00,       , ,   2
186.57958,-07.33010,   12.72,  8.275, 0.012,F8          ,  60690, 1310909,   -6.80,   0.40, ,   2
186.60031,+27.26826,   11.95,  4.911, 0.004,F0p         ,  60697,  684909,   -4.30,   1.40, ,  27
186.71078,+23.24123,   24.10,  9.504, 0.256,F5        d ,       ,  778714,  -43.00,       ,C,   5
186.74932,+01.56702,   10.99, 10.462, 0.026,F8          ,  60747, 1139277,  158.00,       , ,   1
186.76083,-22.38971,   11.18,  7.890, 0.009,F7V         ,  60753, 1577248,   -0.20,   0.30, ,   2
186.76852,+23.96384,  -30.70,  9.805, 0.349,F4          ,       ,  778720,  -16.10,   1.10, ,   3
186.86353,+24.65552,    4.81,  8.280, 0.012,F8 V        ,  60776,  778729,  -17.00,   2.90, ,   8
186.96500,-04.61528,   10.97,  6.209, 0.006,F0 IVn      ,  60813, 1231297,   -5.40,   1.70, ,  19
187.18912,+19.95189,    7.76,  7.671, 0.009,F4          ,  60893,  867325,    3.05,   4.18, ,   1
187.23551,+27.83919,        , 11.237,      ,F1          ,       ,  684986,  -13.80,   1.70, ,   2
187.23626,+28.88618,    4.28,  8.577, 0.016,F6IV-V      ,  60908,  684987,  -20.52,   7.82, ,   1
187.25434,+27.89498,  -37.00, 11.034, 0.847,F2          ,       ,  684989,  -19.20,   3.40, ,   2
187.26602,+05.96066,    5.74,  8.054, 0.009,F2          ,  60915, 1043731,   16.80,   6.00, ,   2
187.32155,+26.27440,  159.60, 10.746, 0.661,F4          ,       ,  684997,  -13.00,   3.30, ,   4
187.34571,+15.11188,  -72.30, 10.257, 0.411,F6          ,       ,  867343,   -2.50,   1.30, ,   3
187.36272,+24.10892,   15.17,  5.469, 0.004,F5III       ,  60941,  778769,  -42.50,   2.24, ,
187.36768,+04.83814,   16.90,  7.121, 0.008,F2          ,  60942, 1139340,    1.80,   1.90, ,   1
187.41972,+24.94165,  -38.40, 10.038, 0.209,F8          ,       ,  778773,   36.40,       , ,   1
187.47296,+17.91000,   -4.40,  8.916, 0.207,F5 V        ,       ,  867355,   11.20,   1.70, ,   5
187.48155,+24.33860,   14.37,  7.865, 0.010,F7 V        ,  60976,  778778,   -0.63,   1.04, ,   2
187.54687,+05.87702,    8.48,  8.138, 0.013,F8          ,  61004, 1043760,  -37.50,   0.30, ,   2
187.64030,+09.71571,   11.85,  8.315,      ,F5        d ,  61035, 1043771,  -12.00,   1.28, ,   2
187.64064,+09.71588,   11.65,  7.652, 0.012,F5        d ,  61035, 1043772,  -12.00,   1.28, ,   2
187.64493,+03.50995,    1.31,  9.719, 0.232,F5        d ,  61037, 1139371,    1.00,       ,C,   3
187.76294,+27.73036,   12.47,  8.532, 0.016,F6V         ,  61074,  685039,   -2.02,   0.95, ,   3
187.76382,+23.77301,   15.68,  7.121, 0.008,F8V         ,  61075,  778808,  -46.99,   3.75, ,   4
187.84329,+05.05285,    9.24,  7.746, 0.012,F2          ,  61104, 1043801,  -48.70,   0.90, ,   1
187.84583,+16.22079,  -45.70, 10.234, 0.467,F2          ,       ,  867385,  -38.00,       , ,   1
187.88742,+24.62036,  -12.30,  9.497, 0.275,F6V         ,       ,  778816,   -3.10,   1.00, ,   5
187.88757,+24.61574,   10.69, 10.406, 0.681,F6 V        ,       ,  778817,   -3.90,       , ,   1
187.89069,+21.57686,   12.44,  7.903, 0.014,F3          ,  61120,  778818,    2.40,   1.50, ,   6
187.90099,-11.07644,   -5.98,  8.379, 0.148,F1        d ,  61125, 1393657,   -1.00,       ,C,   4
187.90250,+28.43966,   35.40,  9.423, 0.263,F8          ,       ,  685050,    5.60,       , ,   1
187.95464,-15.71550,    7.64,  7.513, 0.010,F0III/IV    ,  61145, 1479747,   -0.80,   0.70, ,   6
187.96067,+29.31417,   11.73,  7.539, 0.009,F0V         ,  61147,  685061,   -0.60,   1.90, ,  20
187.96665,+23.26923,   12.22,  7.618, 0.010,F3 V        ,  61151,  778828,  -19.60,   2.80, ,   8
188.01181,+17.66342,    5.03,  8.965, 0.016,F5          ,  61168,  867402,  -26.00,   4.70, ,   3
188.01552,+14.33562,    1.35, 10.547, 0.032,F5          ,  61170,  954100,  -12.40,   2.80, ,   3
188.01869,-16.19587,   54.82,  4.303, 0.004,F2V         ,  61174, 1479760,   -2.78,   3.91, ,   2
188.08576,+26.78066,    5.40,  9.028, 0.159,F3V         ,       ,  685078,   22.20,   1.50, ,   6
188.18698,+23.41902,    7.59,  7.472, 0.064,F0          ,       ,  778850,   -3.30,   3.00, ,   9
188.18770,+23.00993,    2.61,  9.670, 0.017,F8          ,  61223,  778851,    0.30,       , ,   1
188.19015,+27.02932,   -1.23, 11.850, 0.490,F4          ,  61225,  685083,  -55.00,       , ,
188.20671,+27.14749,  -18.89, 10.103, 0.400,F1          ,       ,  685085,    0.00,  11.10, ,   3
188.23828,+21.69974,    3.63,  9.026, 0.019,F2V         ,  61239,  778855,   -7.00,   5.80, ,   4
188.31982,+27.23982,   22.00,  9.724, 0.250,F4 V        ,       ,  685101,   -8.80,   1.80, ,   5
188.33886,+21.83541,   -0.30,  9.697, 0.280,F8          ,       ,  778864,    0.50,       , ,   1
188.34278,-19.79249,    7.31,  6.259, 0.006,F0IV/V      ,  61270, 1479817,    5.00,   1.30, ,   3
188.40288,+20.10310,    6.71,  9.385, 0.020,F5          ,  61301,  778871,  -11.20,   2.30, ,   3
188.40403,+28.08148,    6.11,  8.591, 0.017,F3V         ,  61302,  685110,   -3.90,   3.60, ,  11
188.40483,+15.10199,    6.11,  9.853, 0.023,F5          ,  61306,  867448,   16.60,   1.20, ,   3
188.46810,+26.86096,    0.10,  9.698, 0.317,F3 V        ,       ,  685116,  -18.00,   3.40, ,   5
188.48067,-06.77785,   13.95,  8.057, 0.009,F8          ,  61326, 1311179,    5.90,   0.40, ,   2
188.58843,+26.28918,   10.18,  8.319, 0.019,F3 V        ,  61355,  685128,   -4.80,   2.30, ,   8
188.69898,+26.82908,    7.19, 10.142, 0.356,F6          ,       ,  685142,  -10.00,   5.50, ,   4
188.71655,+10.83636,    7.55,  7.894, 0.013,F0          ,  61397,  954173,   12.00,   2.30, ,   1
188.78285,+07.44294,   15.72,  7.873, 0.009,F8          ,  61419, 1043923,    7.60,   0.20, ,   4
188.81675,+02.26086,   10.06,  7.036, 0.008,F5          ,  61428, 1139493,   -8.00,   1.90, ,   2
188.86649,+28.83762,   10.95,  8.074, 0.014,F8IV        ,  61442,  685157,   24.29,   2.90, ,   2
188.92839,-16.82614,   13.21,  6.694, 0.007,F3IV        ,  61463, 1479909,    1.10,   1.30, ,   5
188.94396,+16.82992,    6.85,  9.093, 0.017,F6          ,  61470,  867502,  -14.00,   7.10, ,   3
188.96986,-12.06919,    8.02,  6.604, 0.008,F0          ,  61486, 1393820,  -11.30,   0.50, ,   1
188.99489,-20.52735,   13.17,  6.194, 0.012,F0n       d ,  61496, 1577569,   -2.00,   3.70, ,   5
189.00203,+12.68495,  -53.90, 10.023, 0.393,F6          ,       ,  954209,   -8.00,   4.10, ,   2
189.07300,+13.02525,    1.42, 10.255, 0.025,F5          ,  61525,  954219,   30.00,   4.10, ,   2
189.16497,+27.47494,    5.28, 10.819, 0.028,F2          ,  61545,  685196, -130.47,   3.13, ,  38
189.17756,+23.63316,    4.62,  8.900, 0.014,F6V         ,  61550,  778938,  -12.30,   2.90, ,   5
189.20304,+20.23778,   11.52,  7.632,      ,F6          ,  61560,  778940,   -4.74,   2.02, ,   2
189.20306,+20.23773,   11.47,  7.541, 0.012,F6          ,  61560,  778941,   -4.74,   2.02, ,   2
189.27807,-02.32175,   21.79,  6.952, 0.006,F5          ,  61578, 1231563,  -26.50,   0.30, ,   2
189.29505,+21.19798,    4.21,  7.701, 0.013,F3V         ,  61584,  778946,   -1.30,   1.30, ,   7
189.29525,+21.19803,    5.26,  9.060,      ,F3V         ,  61584, 2601746,   -1.30,   1.30, ,   7
189.41972,-19.57782,    3.41,  8.760, 0.166,F2V+K       ,  61620, 1479972,   19.00,       ,C,
189.42594,-27.13866,   28.72,  5.406, 0.013,F2        d ,  61621, 1673035,   -0.46,   1.44, ,   2
189.49176,+26.45884,   70.30, 10.395, 0.358,F8          ,       ,  685229,   -5.80,       , ,   1
189.63303,+23.83543,    5.19,  9.886, 0.028,F8          ,  61671,  778973,    5.50,       , ,   1
189.63454,+00.21734,   12.97,  8.448, 0.012,F5          ,  61672, 1139594,   -5.30,   2.60, ,   1
189.65725,+25.08326,   37.09, 10.755, 0.693,F8          ,       ,  685243,    4.30,       , ,   1
189.72036,+24.39881,    6.99,  8.757, 0.014,F5 V        ,  61705,  778984,   -9.10,   1.70, ,   5
189.75810,+17.43720,    1.55,  9.424, 0.020,F0          ,  61718,  867589,   11.30,   1.00, ,   3
189.78610,+28.23587,  -11.60, 10.631, 0.606,F8          ,       ,  685258,   -1.00,   7.10, ,   3
189.78863,+16.47976,   11.10,  7.578, 0.010,F3 V        ,  61727,  867594,   -8.88,  10.43, ,  24
