RAdeg,DEJ2000,Plx,Vmag,Scat,SpType,HIP,ASCC,RV,e_RV,q_RV,o_RV
090.97354,+31.32812,    4.06,  9.018, 0.032,K0 + F5     ,  28715,  569595,   28.50,       , ,
091.14327,+23.37969,  -10.80,  9.154, 0.244,F5          ,       ,  756655,  -28.60,       , ,   1
091.17630,+25.17879,    7.87,  8.463, 0.017,F8          ,  28791,  665031,   -9.00,   2.60, ,   5
091.26077,+37.96429,    4.48,  6.326, 0.008,F8          ,  28820,  478008,   -1.04,   0.33, ,   5
091.49012,+34.97085,   20.50,  9.352, 0.239,F           ,       ,  569791,  -48.40,       , ,   1
091.52372,+25.36318,  -16.39, 10.592, 0.630,F2          ,       ,  665264,  -11.40,       , ,   1
091.59449,+27.69671,  -16.70,  9.897, 0.340,F8          ,       ,  665318,   -5.80,       , ,   1
091.91504,+28.47209,   -2.75,  9.552, 0.025,F2          ,  29042,  665512,   21.60,       , ,   1
092.00639,+25.92345,   12.30,  8.613, 0.152,F5          ,       ,  665566,    6.50,   2.24, ,   1
092.01005,+21.29544,    8.97,  7.295, 0.008,F0          ,  29077,  757245,   21.10,   4.00, ,   1
092.01685,+39.20965,   14.50,  8.521, 0.014,F5          ,  29079,  478278,   43.80,   0.40, ,   8
092.08210,+37.73118,   11.11,  8.297, 0.010,F2          ,  29110,  478306,  -49.60,   1.20, ,   1
092.10307,+31.20306,   16.20,  8.276, 0.013,F8          ,  29116,  570030,  -22.40,   0.30, ,   3
092.19495,+26.51590,   55.29,  9.914, 0.421,F0          ,       ,  665669,    0.00,       , ,   1
092.20211,+29.84695,   15.30,  8.713, 0.128,F2          ,       ,  665675,  -28.50,       , ,   1
092.30815,+31.73400,    1.54,  8.860, 0.012,F5          ,  29173,  570117,   11.50,       , ,   1
092.43092,+29.23865,    6.80,  9.430,      ,F5          ,  29224, 2600850,   53.49,   1.46, ,   2
092.43100,+29.23850,    7.36,  7.848, 0.010,F5          ,  29224,  665798,   53.49,   1.46, ,   2
092.43790,+28.39823,   16.00,  8.456, 0.131,F5          ,       ,  665802,   -1.30,       , ,   1
092.46736,+37.57124,    9.91,  7.951, 0.009,F8          ,  29238,  478469,   24.00,   0.30, ,   2
092.63827,+26.97293,  -47.00, 10.111, 0.437,F0          ,       ,  665889,   16.70,       , ,   1
092.66389,+30.95715,    8.24,  8.692, 0.020,F7V         ,  29301,  570281,  -47.30,   3.54, ,   3
093.25252,+27.43190,   11.66,  8.378, 0.016,F2          ,  29510,  666099,   29.20,       , ,   1
093.41367,+28.35589,    3.96,  9.702, 0.025,F5          ,  29554,  666151,   28.50,       , ,   1
093.45757,+33.41806,        , 11.344,      ,F8          ,       ,  570565,  139.90,       , ,   1
093.50008,+27.70339,        , 11.530,      ,F8     VARc ,       ,  666171,    0.00,       ,C,   4
093.78694,+25.46502,    1.69,  8.857, 0.017,F5          ,  29680,  666262,    9.70,       , ,   1
093.84223,+35.01218,   -3.20,  9.150, 0.233,F8 V        ,       ,  478917,   68.30,   3.00, ,   2
093.91042,+36.14614,   15.30,  7.384, 0.098,F4        d ,  29723,  478930,    9.00,       ,C,   2
093.91273,+36.14868,   18.93,  6.846, 0.028,F4        d ,  29725,  478934,    6.99,   1.84, ,   2
094.05638,+28.19955,   50.79,  9.383, 0.352,F8          ,       ,  666352,   -2.90,       , ,   1
094.08550,+26.71159,  -28.50,  9.237, 0.266,F2          ,       ,  666365,   18.10,       , ,   1
094.09116,+29.79698,  -19.89,  9.700, 0.439,F0          ,       ,  666367,    3.00,       , ,   1
094.09250,+28.85201,    4.31,  7.418, 0.025,Be+FII-III  ,  29793,  666368,    7.50,       , ,
094.11599,+29.69614,   14.69,  9.147, 0.282,F0          ,       ,  666372,    9.70,       , ,   1
094.12138,+27.22497, -100.59,  9.587, 0.402,F5          ,       ,  666376,  -14.10,       , ,   1
094.21767,+22.17060,    1.94,  8.566, 0.019,F0          ,  29827,  758650,   46.10,   4.90, ,   1
094.22990,+25.49555,   12.62,  8.451, 0.013,F8V         ,  29833,  666414,    9.80,   1.90, ,   5
094.33349,+27.29066,    3.62,  9.361, 0.020,F8          ,  29866,  666454,   14.40,       , ,   1
094.37563,+32.26336,   15.07,  7.655, 0.009,F5          ,  29878,  570897,   18.20,   1.50, ,   1
094.39038,+35.14910,   21.16,  6.676, 0.006,F6V         ,  29882,  479093,   -3.10,   0.30, ,   2
094.62957,+25.88006,    5.59,  9.470, 0.230,F2          ,       ,  666565,  -27.10,       , ,   1
094.80622,+25.98229,    2.37,  9.275, 0.016,F5          ,  30035,  666642,   -1.00,       , ,   1
094.85088,+29.44258,   -8.10, 10.038, 0.245,F0          ,       ,  666667,  -10.40,       , ,   1
094.89953,+39.81844,   11.14,  8.334, 0.013,F8          ,  30059,  479240,   33.50,   0.30, ,   2
095.06086,+30.36938,    8.40,  8.013, 0.008,F0          ,  30115,  571104,    0.80,   0.30, ,   1
095.20445,+28.96534,    3.29,  9.342, 0.331,F2          ,       ,  666835,  -45.30,       , ,   1
095.20566,+26.49601,  -17.39,  9.286, 0.280,F5          ,       ,  666836,   37.50,       , ,   1
095.21394,+31.63958,   10.50,  8.578, 0.017,F5          ,  30168,  571150,  -26.10,   0.30, ,   3
095.26707,+29.37172,   18.31,  7.009, 0.007,F0          ,  30188,  666860,   -9.29,   1.19, ,  13
095.45073,+22.90090,    0.69,  8.326, 0.127,F4        d ,       ,  759366,   36.20,   1.79, ,   7
